time,theta,x_pivot,time_seconds,filtered_theta
4057,-955,0.0,4.057,-954.3367134486439
4066,-955,0.0,4.066,-954.7466470816627
4074,9,0.0,4.074,-359.1184626414455
4083,9,0.0,4.083,-131.6087408426738
4093,9,0.0,4.093,-44.70775988657587
4102,8,0.0,4.102,-12.132572805803683
4110,8,0.0,4.11,0.3100414691648279
4122,-977,0.0,4.122,-603.7007817053482
4130,-977,0.0,4.13,-834.4123865852096
4139,-977,0.0,4.139,-922.5363780502805
4149,-842,0.0,4.149,-872.7621590843962
4157,-842,0.0,4.157,-853.750099202908
4165,-842,0.0,4.165,-846.4881385243278
4172,-880,0.0,4.172,-867.1996079425714
4181,-880,0.0,4.181,-875.1106853033865
4189,-880,0.0,4.189,-878.1324479675881
4198,-697,0.0,4.198,-766.1864386581468
4206,-697,0.0,4.206,-723.4268680068524
4214,-697,0.0,4.214,-707.0941653624104
4221,-697,0.0,4.221,-700.8556280803789
4229,-598,0.0,4.229,-637.2873539924866
4236,-598,0.0,4.236,-613.006433897081
4243,-598,0.0,4.243,-603.7319476987564
4253,-515,0.0,4.253,-548.8925881329469
4260,-515,0.0,4.26,-527.9458167000844
4269,-515,0.0,4.269,-519.9448619673062
4279,-241,0.0,4.279,-347.54745628436314
4286,-241,0.0,4.286,-281.6975068857831
4293,-241,0.0,4.293,-256.54506437298625
4302,-135,0.0,4.302,-181.42608342568684
4310,-135,0.0,4.31,-152.73318590407422
4319,-135,0.0,4.319,-141.77347428653582
4327,-29,0.0,4.327,-72.07563414804439
4335,-29,0.0,4.335,-45.45342815759734
4343,-29,0.0,4.343,-35.28465032474762
4352,-29,0.0,4.352,-31.400522816645527
4361,-29,0.0,4.361,-29.91691812518896
4369,-29,0.0,4.369,-29.35023155892135
4376,-29,0.0,4.376,-29.133776551575096
4385,200,0.0,4.385,112.47868532792197
4394,200,0.0,4.394,166.56983253534105
4406,390,0.0,4.406,304.6572701405812
4416,390,0.0,4.416,357.40197788640256
4423,390,0.0,4.423,377.5486635186265
4433,762,0.0,4.433,615.1526564844377
4441,762,0.0,4.441,705.9093059346867
4449,762,0.0,4.449,740.5752613196223
4458,683,0.0,4.458,704.9917929129386
4465,683,0.0,4.465,691.4001174191935
4473,683,0.0,4.473,686.2085593446419
4483,683,0.0,4.483,684.2255606147321
4491,683,0.0,4.491,683.4681224995544
4498,683,0.0,4.498,683.1788068839312
4506,683,0.0,4.506,683.0682981522392
4515,844,0.0,4.515,782.5295597615196
4522,844,0.0,4.522,820.5203811323197
4530,844,0.0,4.53,835.0315836354395
4539,882,0.0,4.539,864.0596613464946
4549,882,0.0,4.549,875.1474004040444
4557,882,0.0,4.557,879.3825398656388
4566,908,0.0,4.566,897.0691029003692
4573,908,0.0,4.573,903.8247688354687
4581,908,0.0,4.581,906.4052036060368
4591,924,0.0,4.591,917.2793858026401
4598,924,0.0,4.598,921.4329538018836
4606,924,0.0,4.606,923.0194756030107
4616,841,0.0,4.616,872.3286519409073
4624,841,0.0,4.624,852.9664802197112
4633,841,0.0,4.633,845.5707887182264
4642,911,0.0,4.642,886.0082651474605
4650,911,0.0,4.65,901.4540067241553
4657,911,0.0,4.657,907.3537550250053
4667,886,0.0,4.667,894.1564086321132
4675,886,0.0,4.675,889.1154708713342
4684,886,0.0,4.684,887.1900039818894
4694,739,0.0,4.694,795.6035447280995
4701,739,0.0,4.701,760.6206302024091
4709,739,0.0,4.709,747.2583458791278
4718,791,0.0,4.718,774.2921748499687
4725,791,0.0,4.725,784.6181786707783
4734,791,0.0,4.734,788.5623611623663
4743,637,0.0,4.743,694.8916705488369
4753,637,0.0,4.753,659.1126504841444
4761,637,0.0,4.761,645.4462809035964
4770,530,0.0,4.77,574.0965554304059
4777,530,0.0,4.777,546.8433853876213
4785,530,0.0,4.785,536.433600732458
4793,530,0.0,4.793,532.4574168097528
4801,439,0.0,4.801,474.6975567205598
4809,439,0.0,4.809,452.6352533519266
4817,439,0.0,4.817,444.20820333522005
4825,272,0.0,4.825,337.77768053250105
4833,272,0.0,4.833,297.1248382622831
4841,272,0.0,4.841,281.5968342543483
4851,256,0.0,4.851,265.7771206807635
4858,256,0.0,4.858,259.73452778794217
4866,256,0.0,4.866,257.42646268306294
4874,99,0.0,4.874,159.5135240275132
4883,99,0.0,4.883,122.11410939947662
4891,99,0.0,4.891,107.82880417091664
4900,-14,0.0,4.9,32.5344623845352
4908,-14,0.0,4.908,3.7745829826889725
4917,-14,0.0,4.917,-7.2107134364682945
4926,-532,0.0,4.926,-331.54832946453934
4936,-532,0.0,4.936,-455.43427495714985
4944,-532,0.0,4.944,-502.7544954069102
4954,-586,0.0,4.954,-554.2030466560752
4962,-586,0.0,4.962,-573.8546445613154
4969,-586,0.0,4.969,-581.3608870278708
4979,-687,0.0,4.979,-646.6494493860366
4988,-687,0.0,4.988,-671.5874611302389
4995,-687,0.0,4.995,-681.1129340046801
5005,-739,0.0,5.005,-716.889108298796
5013,-739,0.0,5.013,-730.5543908917081
5021,-739,0.0,5.021,-735.7740643763282
5030,-746,0.0,5.03,-742.0940401585257
5039,-746,0.0,5.039,-744.508056099249
5048,-746,0.0,5.048,-745.4301281392212
5059,-840,0.0,5.059,-803.8775232609048
5067,-840,0.0,5.067,-826.2024416434931
5075,-840,0.0,5.075,-834.7298016695745
5085,-886,0.0,5.085,-866.4165268477255
5094,-886,0.0,5.094,-878.5197788736021
5103,-886,0.0,5.103,-883.142809773081
5112,-903,0.0,5.112,-895.4152282543891
5120,-903,0.0,5.12,-900.1028749900865
5127,-903,0.0,5.127,-901.8933967158704
5137,-875,0.0,5.137,-885.2723634725277
5145,-875,0.0,5.145,-878.9236937017126
5152,-875,0.0,5.152,-876.4987176326104
5160,-833,0.0,5.16,-849.6150316686228
5169,-833,0.0,5.169,-839.3463773732581
5176,-833,0.0,5.176,-835.4241004511513
5186,-873,0.0,5.186,-858.6472835301917
5194,-873,0.0,5.194,-867.5177501394236
